name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,car_age,brand,price_category,mileage_category,age_category,log_price,owner_encoded,transmission_encoded,fuel_encoded,seller_type_encoded,brand_encoded,price_category_encoded,mileage_category_encoded,age_category_encoded
Hyundai i10 Magna,2012,240000,40000,Petrol,Dealer,Manual,First Owner,12,Hyundai,Budget,Low,Old,12.388394202324129,0,0,4,0,10,0,0,2
Nissan Terrano XL 85 PS,2014,600000,27000,Diesel,Dealer,Manual,First Owner,10,Nissan,Mid-Range,Low,Old,13.304684934198283,0,0,1,0,21,1,0,2
Tata New Safari DICOR 2.2 EX 4x2,2012,350000,65000,Diesel,Dealer,Manual,First Owner,12,Tata,Mid-Range,Medium,Old,12.765688433465597,0,0,1,0,25,1,1,2
Hyundai EON Magna Plus,2015,245000,32000,Petrol,Dealer,Manual,First Owner,9,Hyundai,Budget,Low,Old,12.409013489526863,0,0,4,0,10,0,0,2
Mahindra Bolero B6,2016,600000,56000,Diesel,Dealer,Manual,First Owner,8,Mahindra,Mid-Range,Medium,Old,13.304684934198283,0,0,1,0,17,1,1,2
BMW X1 sDrive 20d xLine,2017,2400000,30000,Diesel,Individual,Automatic,First Owner,7,BMW,Luxury,Low,Recent,14.690979295318174,0,1,1,1,2,3,0,1
Mahindra Scorpio SLE BS IV,2014,620000,80000,Diesel,Dealer,Manual,First Owner,10,Mahindra,Premium,Medium,Old,13.337474757021274,0,0,1,0,17,2,1,2
Maruti Swift Dzire 1.2 Vxi BSIV,2014,395000,52000,Petrol,Dealer,Manual,Second Owner,10,Maruti,Mid-Range,Medium,Old,12.886641043883259,1,0,4,0,18,1,1,2
Maruti Ertiga ZXI,2014,635000,13250,Petrol,Dealer,Manual,First Owner,10,Maruti,Premium,Low,Old,13.36138027787483,0,0,4,0,18,2,0,2
Maruti Alto LX,2011,180000,36000,Petrol,Dealer,Manual,First Owner,13,Maruti,Budget,Low,Old,12.100712129872347,0,0,4,0,18,0,0,2
Maruti Swift ZDI Plus,2015,484999,73000,Diesel,Dealer,Manual,Second Owner,9,Maruti,Mid-Range,Medium,Old,13.091902108061824,1,0,1,0,18,1,1,2
Maruti Alto LX,2004,110000,60000,Petrol,Individual,Manual,First Owner,20,Maruti,Budget,Medium,Very Old,11.608235644774552,0,0,4,1,18,0,1,3
Maruti Wagon R VXI BSIII,2006,150000,60000,Petrol,Individual,Manual,Second Owner,18,Maruti,Budget,Medium,Very Old,11.918390573078392,1,0,4,1,18,0,1,3
Chevrolet Tavera Neo 2 LT L 9 Str,2012,400000,110000,Diesel,Individual,Manual,First Owner,12,Chevrolet,Mid-Range,High,Old,12.89921982609012,0,0,1,1,3,1,2,2
Tata Indica Vista Aura Plus 1.3 Quadrajet,2012,200000,70000,Diesel,Individual,Manual,Second Owner,12,Tata,Budget,Medium,Old,12.206072645530174,1,0,1,1,25,0,1,2
Renault Duster 85PS Diesel RxL Plus,2013,302000,60000,Diesel,Individual,Manual,Second Owner,11,Renault,Mid-Range,Medium,Old,12.618182296357007,1,0,1,1,23,1,1,2
Maruti Swift Dzire Vdi BSIV,2011,215000,90000,Diesel,Individual,Manual,Fourth & Above Owner,13,Maruti,Budget,Medium,Old,12.2783933071098,3,0,1,1,18,0,1,2
Maruti Wagon R VXI BSIII,2004,155000,80000,Petrol,Individual,Manual,Second Owner,20,Maruti,Budget,Medium,Very Old,11.951180395901384,1,0,4,1,18,0,1,3
Toyota Innova 2.5 G (Diesel) 8 Seater,2014,1000000,101000,Diesel,Individual,Manual,Second Owner,10,Toyota,Premium,High,Old,13.815510557964274,1,0,1,1,26,2,2,2
Mahindra Bolero Power Plus SLX,2018,550000,44000,Diesel,Individual,Manual,First Owner,6,Mahindra,Mid-Range,Low,Recent,13.217673557208654,0,0,1,1,17,1,0,1
Maruti Swift 1.3 VXi,2006,200000,45000,Petrol,Individual,Manual,First Owner,18,Maruti,Budget,Low,Very Old,12.206072645530174,0,0,4,1,18,0,0,3
Mahindra Scorpio S2 7 Seater,2017,750000,120000,Diesel,Individual,Manual,First Owner,7,Mahindra,Premium,High,Recent,13.527828485512494,0,0,1,1,17,2,2,1
Maruti Zen LXI,2005,90000,90000,Petrol,Individual,Manual,Second Owner,19,Maruti,Budget,Medium,Very Old,11.407564949312402,1,0,4,1,18,0,1,3
Maruti Wagon R LXI Minor,2007,80000,120000,Petrol,Individual,Manual,Second Owner,17,Maruti,Budget,High,Very Old,11.289781913656018,1,0,4,1,18,0,2,3
Hyundai EON D Lite Plus,2013,229999,13500,Petrol,Individual,Manual,First Owner,11,Hyundai,Budget,Low,Old,12.345830240069793,0,0,4,1,10,0,0,2
Renault KWID 1.0 RXT Optional,2017,350000,10000,Petrol,Individual,Manual,First Owner,7,Renault,Mid-Range,Low,Recent,12.765688433465597,0,0,4,1,23,1,0,1
Hyundai Grand i10 Magna,2015,325000,25000,Petrol,Individual,Manual,Third Owner,9,Hyundai,Mid-Range,Low,Old,12.691580461311874,2,0,4,1,10,1,0,2
Tata Tigor 1.2 Revotron XT,2018,450000,8500,Petrol,Individual,Manual,First Owner,6,Tata,Mid-Range,Low,Recent,13.017002861746503,0,0,4,1,25,1,0,1
Maruti SX4 Celebration Diesel,2012,250000,120000,Diesel,Individual,Manual,First Owner,12,Maruti,Budget,High,Old,12.429216196844383,0,0,1,1,18,0,2,2
Volkswagen Polo Diesel Comfortline 1.2L,2012,225000,120000,Diesel,Individual,Manual,First Owner,12,Volkswagen,Budget,High,Old,12.323855681186558,0,0,1,1,27,0,2,2
Maruti Alto LXi,2009,150000,90246,Petrol,Individual,Manual,Third Owner,15,Maruti,Budget,Medium,Old,11.918390573078392,2,0,4,1,18,0,1,2
Maruti Alto LX BSIII,2008,110000,90000,Petrol,Individual,Manual,Second Owner,16,Maruti,Budget,Medium,Very Old,11.608235644774552,1,0,4,1,18,0,1,3
Maruti Alto LXi BSIII,2010,150000,40000,Petrol,Individual,Manual,Second Owner,14,Maruti,Budget,Low,Old,11.918390573078392,1,0,4,1,18,0,0,2
Maruti Gypsy King Hard Top,2000,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner,24,Maruti,Budget,Medium,Very Old,12.013700752882718,3,0,4,1,18,0,1,3
Renault Duster 85PS Diesel RxL,2017,610000,32000,Diesel,Individual,Manual,Second Owner,7,Renault,Premium,Low,Recent,13.321214236149494,1,0,1,1,23,2,0,1
Tata Manza Club Class Quadrajet90 VX,2013,170000,60400,Diesel,Individual,Manual,First Owner,11,Tata,Budget,Medium,Old,12.043553716032399,0,0,1,1,25,0,1,2
Hyundai Verna CRDi,2008,150000,70950,Diesel,Individual,Manual,Second Owner,16,Hyundai,Budget,Medium,Very Old,11.918390573078392,1,0,1,1,10,0,1,3
Hyundai Xcent 1.1 CRDi Base,2015,375000,72000,Diesel,Individual,Manual,First Owner,9,Hyundai,Mid-Range,Medium,Old,12.834681304952548,0,0,1,1,10,1,1,2
Maruti Swift VDI,2013,390000,90000,Diesel,Individual,Manual,First Owner,11,Maruti,Mid-Range,Medium,Old,12.873902018105829,0,0,1,1,18,1,1,2
Hyundai i20 Active 1.2 S,2017,600000,10000,Petrol,Individual,Manual,First Owner,7,Hyundai,Mid-Range,Low,Recent,13.304684934198283,0,0,4,1,10,1,0,1
Maruti Alto 800 LXI,2014,204999,25000,Petrol,Individual,Manual,Second Owner,10,Maruti,Budget,Low,Old,12.230760380059866,1,0,4,1,18,0,0,2
Hyundai Verna CRDi,2009,270000,80000,Diesel,Individual,Manual,Second Owner,15,Hyundai,Budget,Medium,Old,12.506177237980511,1,0,1,1,10,0,1,2
Hyundai Grand i10 Sportz,2017,375000,10000,Petrol,Individual,Manual,First Owner,7,Hyundai,Mid-Range,Low,Recent,12.834681304952548,0,0,4,1,10,1,0,1
Maruti Baleno Zeta,2020,700000,1100,Petrol,Individual,Manual,First Owner,4,Maruti,Premium,Low,Recent,13.458835614025542,0,0,4,1,18,2,0,1
Maruti Swift VXI Deca,2017,455000,40000,Petrol,Individual,Manual,First Owner,7,Maruti,Mid-Range,Low,Recent,13.028052697933088,0,0,4,1,18,1,0,1
Hyundai i10 Sportz 1.1L,2017,375000,10000,Petrol,Individual,Manual,First Owner,7,Hyundai,Mid-Range,Low,Recent,12.834681304952548,0,0,4,1,10,1,0,1
Hyundai Grand i10 Asta,2014,341000,31491,Petrol,Individual,Manual,First Owner,10,Hyundai,Mid-Range,Low,Old,12.739637756265655,0,0,4,1,10,1,0,2
Maruti Swift Dzire VDI,2014,200000,107143,Diesel,Individual,Manual,Second Owner,10,Maruti,Budget,High,Old,12.206072645530174,1,0,1,1,18,0,2,2
Maruti Ignis 1.2 AMT Delta BSIV,2017,450000,15000,Petrol,Individual,Automatic,First Owner,7,Maruti,Mid-Range,Low,Recent,13.017002861746503,0,1,4,1,18,1,0,1
Hyundai Santro Xing GL Plus,2012,170000,50000,Petrol,Individual,Manual,Second Owner,12,Hyundai,Budget,Low,Old,12.043553716032399,1,0,4,1,10,0,0,2
Toyota Innova Crysta 2.4 VX MT 8S BSIV,2017,1900000,100000,Diesel,Individual,Manual,First Owner,7,Toyota,Luxury,Medium,Recent,14.457364444136669,0,0,1,1,26,3,1,1
Mahindra Bolero Power Plus LX,2016,500000,60000,Diesel,Individual,Manual,First Owner,8,Mahindra,Mid-Range,Medium,Old,13.122363377404328,0,0,1,1,17,1,1,2
Maruti Vitara Brezza ZDi Plus,2016,819999,85000,Diesel,Individual,Manual,First Owner,8,Maruti,Premium,Medium,Old,13.617058399727497,0,0,1,1,18,2,1,2
Maruti Swift 1.2 DLX,2014,351000,40000,Petrol,Individual,Manual,Second Owner,10,Maruti,Mid-Range,Low,Old,12.768541502448002,1,0,4,1,18,1,0,2
Hyundai i10 Magna 1.2 iTech SE,2011,195000,80000,Petrol,Individual,Manual,Second Owner,13,Hyundai,Budget,Medium,Old,12.180754837545884,1,0,4,1,10,0,1,2
Maruti Swift Dzire VDi,2008,250000,82000,Diesel,Individual,Manual,Second Owner,16,Maruti,Budget,Medium,Very Old,12.429216196844383,1,0,1,1,18,0,1,3
Maruti Zen Estilo 1.1 VXI BSIII,2008,120000,70000,Petrol,Individual,Manual,Second Owner,16,Maruti,Budget,Medium,Very Old,11.695247021764184,1,0,4,1,18,0,1,3
Maruti A-Star Vxi,2009,180000,70000,Petrol,Individual,Manual,Third Owner,15,Maruti,Budget,Medium,Old,12.100712129872347,2,0,4,1,18,0,1,2
Mahindra KUV 100 mFALCON D75 K6,2016,430000,20000,Diesel,Individual,Manual,First Owner,8,Mahindra,Mid-Range,Low,Old,12.971540487669746,0,0,1,1,17,1,0,2
Tata Nano Cx BSIV,2012,75000,35000,Petrol,Individual,Manual,Second Owner,12,Tata,Budget,Low,Old,11.225243392518447,1,0,4,1,25,0,0,2
Mahindra Xylo D4,2017,750000,80000,Diesel,Individual,Manual,First Owner,7,Mahindra,Premium,Medium,Recent,13.527828485512494,0,0,1,1,17,2,1,1
Tata Nano Lx,2011,60000,40000,Petrol,Individual,Manual,First Owner,13,Tata,Budget,Low,Old,11.002099841204238,0,0,4,1,25,0,0,2
Toyota Innova 2.5 VX (Diesel) 8 Seater,2015,1500000,46412,Diesel,Individual,Manual,First Owner,9,Toyota,Luxury,Low,Old,14.22097566607244,0,0,1,1,26,3,0,2
Mahindra Bolero SLX 2WD BSIII,2011,390000,150000,Diesel,Individual,Manual,Fourth & Above Owner,13,Mahindra,Mid-Range,High,Old,12.873902018105829,3,0,1,1,17,1,2,2
Mahindra TUV 300 T4,2016,630000,50000,Diesel,Individual,Manual,First Owner,8,Mahindra,Premium,Low,Old,13.353475098367715,0,0,1,1,17,2,0,2
Tata Safari Storme VX Varicor 400,2018,1085000,15000,Diesel,Individual,Manual,First Owner,6,Tata,Luxury,Low,Recent,13.897090544956697,0,0,1,1,25,3,0,1
Hyundai i10 Magna 1.2 iTech SE,2012,190000,60000,Petrol,Individual,Manual,Second Owner,12,Hyundai,Budget,Medium,Old,12.154779351142624,1,0,4,1,10,0,1,2
Maruti Baleno Delta Automatic,2018,550000,25000,Petrol,Individual,Automatic,First Owner,6,Maruti,Mid-Range,Low,Recent,13.217673557208654,0,1,4,1,18,1,0,1
Maruti Alto 800 LXI,2012,200000,90000,Petrol,Individual,Manual,Third Owner,12,Maruti,Budget,Medium,Old,12.206072645530174,2,0,4,1,18,0,1,2
Chevrolet Spark 1.0 LT,2011,165000,60000,Petrol,Individual,Manual,First Owner,13,Chevrolet,Budget,Medium,Old,12.013700752882718,0,0,4,1,3,0,1,2
Ford Figo Diesel Celebration Edition,2013,260000,65000,Diesel,Individual,Manual,First Owner,11,Ford,Budget,Medium,Old,12.468436909997665,0,0,1,1,8,0,1,2
Maruti Alto LX,2011,151000,40000,Petrol,Individual,Manual,First Owner,13,Maruti,Budget,Low,Old,11.925035115797062,0,0,4,1,18,0,0,2
Maruti Vitara Brezza VDi,2018,780000,50000,Diesel,Individual,Manual,First Owner,6,Maruti,Premium,Low,Recent,13.567049198665774,0,0,1,1,18,2,0,1
Tata Indica Vista Quadrajet LX,2012,175000,80000,Diesel,Individual,Manual,Third Owner,12,Tata,Budget,Medium,Old,12.072541252905651,2,0,1,1,25,0,1,2
Tata Indica Vista TDI LS,2010,170000,107500,Diesel,Dealer,Manual,First Owner,14,Tata,Budget,High,Old,12.043553716032399,0,0,1,0,25,0,2,2
Tata Indica Vista TDI LS,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,11,Tata,Budget,High,Old,12.254862809699606,1,0,1,0,25,0,2,2
Maruti Alto LXi,2007,90000,43826,Petrol,Dealer,Manual,Second Owner,17,Maruti,Budget,Low,Very Old,11.407564949312402,1,0,4,0,18,0,0,3
Hyundai i20 Active S Petrol,2016,535000,55838,Petrol,Dealer,Manual,First Owner,8,Hyundai,Mid-Range,Medium,Old,13.190022025878143,0,0,4,0,10,1,1,2
Maruti Swift VDI BSIV,2007,195000,112880,Diesel,Dealer,Manual,First Owner,17,Maruti,Budget,High,Very Old,12.180754837545884,0,0,1,0,18,0,2,3
Tata Indica Vista Terra Quadrajet 1.3L,2011,140000,90000,Diesel,Individual,Manual,Third Owner,13,Tata,Budget,Medium,Old,11.84939770159144,2,0,1,1,25,0,1,2
Nissan Sunny XL,2012,350000,40000,Petrol,Individual,Manual,First Owner,12,Nissan,Mid-Range,Low,Old,12.765688433465597,0,0,4,1,21,1,0,2
Hyundai Verna 1.6 SX VTVT (O),2013,425000,66000,Petrol,Individual,Manual,First Owner,11,Hyundai,Mid-Range,Medium,Old,12.959844447906553,0,0,4,1,10,1,1,2
Renault KWID 1.0 RXT Optional,2017,300000,30300,Petrol,Individual,Manual,First Owner,7,Renault,Budget,Low,Recent,12.611537753638338,0,0,4,1,23,0,0,1
Volkswagen Vento Diesel Style Limited Edition,2013,340000,85000,Diesel,Individual,Manual,Second Owner,11,Volkswagen,Mid-Range,Medium,Old,12.736700896592344,1,0,1,1,27,1,1,2
Maruti Swift Dzire VXi,2009,250000,80659,Petrol,Dealer,Manual,First Owner,15,Maruti,Budget,Medium,Old,12.429216196844383,0,0,4,0,18,0,1,2
Chevrolet Aveo 1.4 LS,2008,170000,81324,Petrol,Dealer,Manual,First Owner,16,Chevrolet,Budget,Medium,Very Old,12.043553716032399,0,0,4,0,3,0,1,3
Honda Amaze S i-Dtech,2013,315000,127884,Diesel,Dealer,Manual,First Owner,11,Honda,Mid-Range,High,Old,12.66032791780777,0,0,1,0,9,1,2,2
Chevrolet Beat PS,2015,200000,50000,Petrol,Individual,Manual,First Owner,9,Chevrolet,Budget,Low,Old,12.206072645530174,0,0,4,1,3,0,0,2
Chevrolet Beat PS,2016,300000,25000,Petrol,Individual,Manual,First Owner,8,Chevrolet,Budget,Low,Old,12.611537753638338,0,0,4,1,3,0,0,2
Honda Amaze S i-Dtech,2015,300000,66755,Diesel,Dealer,Manual,First Owner,9,Honda,Budget,Medium,Old,12.611537753638338,0,0,1,0,9,0,1,2
Honda City E,2013,380000,123084,Petrol,Dealer,Manual,First Owner,11,Honda,Mid-Range,High,Old,12.84792653170257,0,0,4,0,9,1,2,2
Maruti Swift VXI BSIII,2009,250000,806599,Petrol,Dealer,Manual,First Owner,15,Maruti,Budget,Very High,Old,12.429216196844383,0,0,4,0,18,0,3,2
Honda Amaze S i-Dtech,2013,310000,95851,Diesel,Dealer,Manual,First Owner,11,Honda,Mid-Range,Medium,Old,12.644327576461329,0,0,1,0,9,1,1,2
Maruti Wagon R VXI Minor ABS,2010,260000,50000,Petrol,Individual,Manual,First Owner,14,Maruti,Budget,Low,Old,12.468436909997665,0,0,4,1,18,0,0,2
Maruti Omni BSIII 8-STR W/ IMMOBILISER,2008,150000,50000,Petrol,Individual,Manual,Second Owner,16,Maruti,Budget,Low,Very Old,11.918390573078392,1,0,4,1,18,0,0,3
Maruti Esteem Vxi - BSIII,2006,85000,60000,Petrol,Individual,Manual,Second Owner,18,Maruti,Budget,Medium,Very Old,11.350406535472453,1,0,4,1,18,0,1,3
Maruti Alto 800 LXI,2015,280000,15000,Petrol,Individual,Manual,Second Owner,9,Maruti,Budget,Low,Old,12.542544882151386,1,0,4,1,18,0,0,2
Mahindra Xylo H4 ABS,2016,850000,40000,Diesel,Individual,Manual,First Owner,8,Mahindra,Premium,Low,Old,13.652991628466498,0,0,1,1,17,2,0,2
Datsun GO Plus T Option BSIV,2017,375000,20000,Petrol,Individual,Manual,Second Owner,7,Datsun,Mid-Range,Low,Recent,12.834681304952548,1,0,4,1,5,1,0,1
Hyundai Elantra CRDi (Leather Option),2006,125000,120000,Diesel,Individual,Manual,Third Owner,18,Hyundai,Budget,High,Very Old,11.736069016284437,2,0,1,1,10,0,2,3
Chevrolet Beat Diesel LT,2012,250000,110000,Diesel,Individual,Manual,First Owner,12,Chevrolet,Budget,High,Old,12.429216196844383,0,0,1,1,3,0,2,2
Toyota Corolla Altis D-4D J,2014,715000,234000,Diesel,Individual,Manual,First Owner,10,Toyota,Premium,Very High,Old,13.480037821676145,0,0,1,1,26,2,3,2
Hyundai i20 1.4 CRDi Era,2011,220000,70000,Diesel,Individual,Manual,First Owner,13,Hyundai,Budget,Medium,Old,12.301382825334498,0,0,1,1,10,0,1,2
Tata Indica Vista Aqua 1.3 Quadrajet,2010,110000,110000,Diesel,Individual,Manual,Second Owner,14,Tata,Budget,High,Old,11.608235644774552,1,0,1,1,25,0,2,2
Hyundai Verna XXi (Petrol),2007,150000,84000,Petrol,Individual,Manual,Second Owner,17,Hyundai,Budget,Medium,Very Old,11.918390573078392,1,0,4,1,10,0,1,3
Nissan Sunny Diesel XV,2012,300000,170000,Diesel,Individual,Manual,First Owner,12,Nissan,Budget,High,Old,12.611537753638338,0,0,1,1,21,0,2,2
Datsun RediGO T Option,2017,220000,40000,Petrol,Individual,Manual,First Owner,7,Datsun,Budget,Low,Recent,12.301382825334498,0,0,4,1,5,0,0,1
Maruti Wagon R LX,2006,75000,96000,Petrol,Individual,Manual,Second Owner,18,Maruti,Budget,Medium,Very Old,11.225243392518447,1,0,4,1,18,0,1,3
Tata Indigo LS,2009,100000,20000,Diesel,Individual,Manual,First Owner,15,Tata,Budget,Low,Old,11.512925464970229,0,0,1,1,25,0,0,2
Ford Figo Aspire 1.2 Ti-VCT Trend,2016,380000,15000,Petrol,Individual,Manual,First Owner,8,Ford,Mid-Range,Low,Old,12.84792653170257,0,0,4,1,8,1,0,2
Hyundai Santro Xing XK (Non-AC),2007,100000,50000,Petrol,Individual,Manual,First Owner,17,Hyundai,Budget,Low,Very Old,11.512925464970229,0,0,4,1,10,0,0,3
Volkswagen Passat 1.8 TSI MT,2010,480000,80000,Petrol,Individual,Manual,Second Owner,14,Volkswagen,Mid-Range,Medium,Old,13.081541382884074,1,0,4,1,27,1,1,2
Toyota Etios GD,2012,300000,124000,Diesel,Individual,Manual,First Owner,12,Toyota,Budget,High,Old,12.611537753638338,0,0,1,1,26,0,2,2
Chevrolet Beat Diesel LS,2013,190000,70000,Diesel,Individual,Manual,First Owner,11,Chevrolet,Budget,Medium,Old,12.154779351142624,0,0,1,1,3,0,1,2
Ford Figo Diesel LXI,2012,190000,130000,Diesel,Individual,Manual,Second Owner,12,Ford,Budget,High,Old,12.154779351142624,1,0,1,1,8,0,2,2
Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2017,650000,19014,Petrol,Dealer,Manual,First Owner,7,Ford,Premium,Low,Recent,13.38472764187182,0,0,4,0,8,2,0,1
Toyota Corolla Executive (HE),2009,300000,23262,Petrol,Dealer,Manual,First Owner,15,Toyota,Budget,Low,Old,12.611537753638338,0,0,4,0,26,0,0,2
Ford Freestyle Titanium Diesel BSIV,2016,700000,29600,Diesel,Dealer,Manual,First Owner,8,Ford,Premium,Low,Old,13.458835614025542,0,0,1,0,8,2,0,2
Hyundai i10 Sportz 1.1L,2015,310000,35925,Petrol,Dealer,Manual,First Owner,9,Hyundai,Mid-Range,Low,Old,12.644327576461329,0,0,4,0,10,1,0,2
Maruti Ignis 1.2 Zeta BSIV,2018,500000,12000,Petrol,Individual,Manual,First Owner,6,Maruti,Mid-Range,Low,Recent,13.122363377404328,0,0,4,1,18,1,0,1
Toyota Etios V,2013,415000,40771,Petrol,Dealer,Manual,First Owner,11,Toyota,Mid-Range,Low,Old,12.936033799212835,0,0,4,0,26,1,0,2
Maruti Celerio VXI AT,2015,395000,30500,Petrol,Dealer,Automatic,Second Owner,9,Maruti,Mid-Range,Low,Old,12.886641043883259,1,1,4,0,18,1,0,2
Toyota Etios Liva 1.2 G,2014,430000,42000,Petrol,Dealer,Manual,Second Owner,10,Toyota,Mid-Range,Low,Old,12.971540487669746,1,0,4,0,26,1,0,2
Toyota Corolla H6,2007,215000,55800,Petrol,Dealer,Manual,Second Owner,17,Toyota,Budget,Medium,Very Old,12.2783933071098,1,0,4,0,26,0,1,3
Renault Duster RXL AWD,2014,550000,66569,Diesel,Dealer,Manual,First Owner,10,Renault,Mid-Range,Medium,Old,13.217673557208654,0,0,1,0,23,1,1,2
Volkswagen Polo 1.5 TDI Trendline,2014,415000,81358,Diesel,Dealer,Manual,First Owner,10,Volkswagen,Mid-Range,Medium,Old,12.936033799212835,0,0,1,0,27,1,1,2
Volkswagen Polo 1.5 TDI Comfortline,2015,450000,82695,Diesel,Dealer,Manual,First Owner,9,Volkswagen,Mid-Range,Medium,Old,13.017002861746503,0,0,1,0,27,1,1,2
Ford Figo Diesel EXI,2014,285000,68293,Diesel,Dealer,Manual,Second Owner,10,Ford,Budget,Medium,Old,12.560244459250788,1,0,1,0,8,0,1,2
Honda Jazz VX CVT,2016,580000,32000,Petrol,Dealer,Automatic,First Owner,8,Honda,Mid-Range,Low,Old,13.270783382522602,0,1,4,0,9,1,0,2
Maruti Swift Dzire Tour LDI,2014,300000,190621,Diesel,Dealer,Manual,First Owner,10,Maruti,Budget,High,Old,12.611537753638338,0,0,1,0,18,0,2,2
Hyundai Verna CRDi 1.6 SX Option,2018,1200000,60000,Diesel,Individual,Manual,First Owner,6,Hyundai,Luxury,Medium,Recent,13.997832114758229,0,0,1,1,10,3,1,1
Maruti 800 Std MPFi,2006,78000,64700,Petrol,Individual,Manual,First Owner,18,Maruti,Budget,Medium,Very Old,11.26446410567173,0,0,4,1,18,0,1,3
Tata Zest Quadrajet 1.3 75PS XE,2016,400000,88470,Diesel,Individual,Manual,First Owner,8,Tata,Mid-Range,Medium,Old,12.89921982609012,0,0,1,1,25,1,1,2
Hyundai Verna 1.6 CRDI SX Option,2016,850000,75000,Diesel,Individual,Manual,First Owner,8,Hyundai,Premium,Medium,Old,13.652991628466498,0,0,1,1,10,2,1,2
Volkswagen Vento Diesel Highline,2013,450000,120000,Diesel,Individual,Manual,Second Owner,11,Volkswagen,Mid-Range,High,Old,13.017002861746503,1,0,1,1,27,1,2,2
Mercedes-Benz E-Class E250 CDI Blue Efficiency,2012,2500000,35000,Diesel,Individual,Automatic,First Owner,12,Mercedes-Benz,Luxury,Low,Old,14.73180128983843,0,1,1,1,19,3,0,2
Toyota Etios 1.4 VXD,2017,780000,70000,Diesel,Individual,Manual,First Owner,7,Toyota,Premium,Medium,Recent,13.567049198665774,0,0,1,1,26,2,1,1
Toyota Fortuner 2.8 2WD AT BSIV,2017,3200000,57000,Diesel,Individual,Automatic,First Owner,7,Toyota,Luxury,Medium,Recent,14.978661367769956,0,1,1,1,26,3,1,1
Maruti Alto 800 VXI,2020,350000,1000,Petrol,Individual,Manual,First Owner,4,Maruti,Mid-Range,Low,Recent,12.765688433465597,0,0,4,1,18,1,0,1
Mahindra Quanto C6,2013,285000,120000,Diesel,Individual,Manual,Second Owner,11,Mahindra,Budget,High,Old,12.560244459250788,1,0,1,1,17,0,2,2
Volkswagen Vento 1.5 TDI Highline,2015,525000,98000,Diesel,Dealer,Manual,First Owner,9,Volkswagen,Mid-Range,Medium,Old,13.17115354157376,0,0,1,0,27,1,1,2
Maruti Ciaz ZDi,2014,550000,90000,Diesel,Dealer,Manual,Second Owner,10,Maruti,Mid-Range,Medium,Old,13.217673557208654,1,0,1,0,18,1,1,2
Volkswagen Ameo 1.5 TDI Comfortline,2018,580000,70000,Diesel,Individual,Manual,First Owner,6,Volkswagen,Mid-Range,Medium,Recent,13.270783382522602,0,0,1,1,27,1,1,1
Tata Nano CX SE,2013,75000,25000,Petrol,Individual,Manual,Third Owner,11,Tata,Budget,Low,Old,11.225243392518447,2,0,4,1,25,0,0,2
Tata Manza Aura Quadrajet,2009,185000,60000,Diesel,Individual,Manual,Third Owner,15,Tata,Budget,Medium,Old,12.128111104060462,2,0,1,1,25,0,1,2
Maruti Omni E 8 Str STD,2007,110000,90000,Petrol,Individual,Manual,Fourth & Above Owner,17,Maruti,Budget,Medium,Very Old,11.608235644774552,3,0,4,1,18,0,1,3
Honda City 1.5 EXI,2004,180000,200000,Petrol,Individual,Manual,Second Owner,20,Honda,Budget,High,Very Old,12.100712129872347,1,0,4,1,9,0,2,3
Volkswagen Polo Diesel Comfortline 1.2L,2010,350000,110000,Diesel,Individual,Manual,Second Owner,14,Volkswagen,Mid-Range,High,Old,12.765688433465597,1,0,1,1,27,1,2,2
Chevrolet Optra 1.6 LS,2005,60000,126000,Petrol,Individual,Manual,Second Owner,19,Chevrolet,Budget,High,Very Old,11.002099841204238,1,0,4,1,3,0,2,3
Mahindra TUV 300 T10,2018,695000,70000,Diesel,Individual,Manual,First Owner,6,Mahindra,Premium,Medium,Recent,13.45166712454693,0,0,1,1,17,2,1,1
Mahindra Alturas G4 4X2 AT BSIV,2019,2700000,5000,Diesel,Individual,Automatic,First Owner,5,Mahindra,Luxury,Low,Recent,14.808762330974558,0,1,1,1,17,3,0,1
Maruti Zen Estilo LX BSIII,2007,135000,74183,Petrol,Individual,Manual,Second Owner,17,Maruti,Budget,Medium,Very Old,11.813030057420567,1,0,4,1,18,0,1,3
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,640000,70000,Diesel,Individual,Manual,Second Owner,9,Mahindra,Premium,Medium,Old,13.369223455335854,1,0,1,1,17,2,1,2
Maruti Alto 800 VXI,2014,160000,90000,Petrol,Individual,Manual,First Owner,10,Maruti,Budget,Medium,Old,11.982929094215963,0,0,4,1,18,0,1,2
Tata Indica LXI,2004,80000,46000,Petrol,Individual,Manual,Second Owner,20,Tata,Budget,Low,Very Old,11.289781913656018,1,0,4,1,25,0,0,3
Maruti Swift Dzire VDI,2013,340000,110000,Diesel,Individual,Manual,Second Owner,11,Maruti,Mid-Range,High,Old,12.736700896592344,1,0,1,1,18,1,2,2
Maruti Ritz VDi,2012,110000,80000,Diesel,Individual,Manual,Second Owner,12,Maruti,Budget,Medium,Old,11.608235644774552,1,0,1,1,18,0,1,2
