name,selling_price,car_age,km_driven,brand,fuel,transmission,owner,cluster_kmeans,cluster_dbscan,high_risk
Hyundai i20 1.2 Sportz,250000,13,120000,Hyundai,Petrol,Manual,First Owner,2,0,0
Hyundai Santro Xing GL Plus LPG,229999,13,60000,Hyundai,LPG,Manual,Second Owner,1,-1,0
Maruti Ritz LDi,299000,8,50000,Maruti,Diesel,Manual,Second Owner,0,2,0
Chevrolet Cruze LTZ,330000,14,124000,Chevrolet,Diesel,Manual,Second Owner,1,2,0
Hyundai Accent Executive,180000,12,100000,Hyundai,Petrol,Manual,Third Owner,1,6,0
Hyundai Grand i10 1.2 Kappa Asta,475000,7,42000,Hyundai,Petrol,Manual,First Owner,2,0,0
Hyundai Grand i10 CRDi Sportz,325000,9,100000,Hyundai,Diesel,Manual,First Owner,0,1,0
Honda City i VTEC V,639000,8,28205,Honda,Petrol,Manual,First Owner,2,0,0
Maruti Celerio VXI AT,415000,7,32670,Maruti,Petrol,Automatic,First Owner,3,5,0
Hyundai Creta 1.6 CRDi AT SX Plus,1199000,8,30093,Hyundai,Diesel,Automatic,First Owner,3,10,0
Maruti Ertiga VXI CNG,525000,11,56228,Maruti,CNG,Manual,First Owner,0,18,0
Hyundai Verna 1.6 SX VTVT,425000,11,59319,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti Vitara Brezza VDi,699000,8,39503,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,325000,11,35299,Hyundai,Petrol,Manual,First Owner,2,0,0
Toyota Etios V,275000,13,51687,Toyota,Petrol,Manual,First Owner,2,0,0
Volkswagen Vento Petrol Highline AT,269000,13,76259,Volkswagen,Petrol,Automatic,First Owner,3,-1,0
Volkswagen Polo Diesel Highline 1.2L,399000,11,44049,Volkswagen,Diesel,Manual,First Owner,0,1,0
Mahindra KUV 100 mFALCON D75 K8,475000,7,45087,Mahindra,Diesel,Manual,First Owner,0,1,0
Toyota Etios V,249000,13,41125,Toyota,Petrol,Manual,First Owner,2,0,0
Audi A4 New  2.0 TDI Multitronic,1549000,10,42215,Audi,Diesel,Automatic,First Owner,3,4,0
Volkswagen Polo Petrol Highline 1.2L,254999,13,54206,Volkswagen,Petrol,Manual,First Owner,2,0,0
Skoda Rapid 1.6 MPI Active,269000,12,52547,Skoda,Petrol,Manual,First Owner,2,0,0
Maruti Ertiga ZDI,665000,10,59110,Maruti,Diesel,Manual,First Owner,0,1,0
Maruti Wagon R Stingray LXI,299000,10,54565,Maruti,Petrol,Manual,First Owner,2,0,0
Hyundai i20 Asta,265000,14,47564,Hyundai,Petrol,Manual,Second Owner,1,3,0
Volkswagen Polo Petrol Highline 1.2L,211000,14,45143,Volkswagen,Petrol,Manual,Second Owner,1,3,0
Skoda Superb 1.8 TSI,599000,11,61624,Skoda,Petrol,Automatic,Second Owner,3,-1,0
Tata Indigo LS,55000,17,195000,Tata,Diesel,Manual,Third Owner,1,-1,1
Hyundai Verna 1.6 SX CRDi (O),550000,10,50000,Hyundai,Diesel,Manual,First Owner,0,1,0
Land Rover Discovery Sport TD4 HSE 7S,4000000,6,68000,Land,Diesel,Automatic,First Owner,3,-1,0
Tata Sumo GX TC 8 Str,220000,14,120000,Tata,Diesel,Manual,Second Owner,1,2,0
Maruti Swift VXI,500000,5,20000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Alto LXi,140000,14,30000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Swift VDI,325000,11,60000,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai i20 Magna,210000,14,90000,Hyundai,Petrol,Manual,Third Owner,1,6,0
Maruti Alto LXi,110000,16,90000,Maruti,Petrol,Manual,Second Owner,1,3,0
Hyundai Verna CRDi 1.6 SX Option,1200000,5,25000,Hyundai,Diesel,Manual,First Owner,0,1,0
Maruti Alto 800 VXI,229999,7,40000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Alto 800 LXI,165000,18,132000,Maruti,Petrol,Manual,First Owner,1,0,1
Tata Tiago XZA AMT,525000,6,10980,Tata,Petrol,Automatic,First Owner,3,5,0
Hyundai EON Era Plus,325000,6,20629,Hyundai,Petrol,Manual,First Owner,2,0,0
Toyota Innova Crysta 2.4 VX MT BSIV,1500000,6,50000,Toyota,Diesel,Manual,First Owner,0,1,0
Hyundai Grand i10 AT Asta,400000,9,30000,Hyundai,Petrol,Automatic,First Owner,3,5,0
Maruti Ciaz VXi,550000,9,69782,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti 800 Std,98000,21,54000,Maruti,Petrol,Manual,First Owner,1,0,0
Mahindra XUV500 W8 4WD,900000,11,63654,Mahindra,Diesel,Manual,First Owner,0,1,0
Renault Lodgy 85PS RxL,700000,7,60000,Renault,Diesel,Manual,First Owner,0,1,0
Mahindra Scorpio S6 Plus 7 Seater,890000,9,52000,Mahindra,Diesel,Manual,First Owner,0,1,0
Maruti Swift LDI BSIV,490000,9,59385,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai i20 2015-2017 Magna 1.2,525000,9,70378,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti Wagon R LXI BS IV,330000,11,55425,Maruti,Petrol,Manual,First Owner,2,0,0
Mahindra Bolero 2011-2019 SLX 2WD BSIII,550000,11,78413,Mahindra,Diesel,Manual,Second Owner,0,2,0
Mahindra Bolero Power Plus SLX,790000,6,40890,Mahindra,Diesel,Manual,First Owner,0,1,0
Honda Brio S MT,350000,9,34823,Honda,Petrol,Manual,Second Owner,2,3,0
Toyota Innova Crysta 2.8 ZX AT BSIV,1700000,7,75000,Toyota,Diesel,Automatic,First Owner,3,-1,0
Maruti Ciaz VDI SHVS,750000,7,55545,Maruti,Diesel,Manual,First Owner,0,1,0
Honda Amaze EX i-Dtech,409999,10,56541,Honda,Diesel,Manual,First Owner,0,1,0
Hyundai EON Magna Plus,220000,8,43700,Hyundai,Petrol,Manual,First Owner,2,0,0
Tata Indica GLS BS IV,68000,15,120000,Tata,Petrol,Manual,Second Owner,1,3,0
Hyundai EON Era Plus,290000,7,20000,Hyundai,Petrol,Manual,First Owner,2,0,0
Honda City i DTec SV,600000,10,27483,Honda,Diesel,Manual,First Owner,0,1,0
Maruti Swift LXI,470000,5,8000,Maruti,Petrol,Manual,First Owner,2,0,0
Hyundai i10 Sportz 1.2,150000,16,30000,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti Alto 800 LXI,180000,10,56207,Maruti,Petrol,Manual,Second Owner,2,3,0
Maruti Zen LXI,80000,18,70000,Maruti,Petrol,Manual,First Owner,1,0,0
Honda WR-V i-VTEC VX,875000,6,1440,Honda,Petrol,Manual,First Owner,2,0,0
Maruti Alto 800 LXI,300000,5,50000,Maruti,Petrol,Manual,First Owner,2,0,0
Toyota Fortuner 2.8 2WD AT BSIV,2800000,7,20000,Toyota,Diesel,Automatic,First Owner,3,8,0
Toyota Innova Crysta 2.4 ZX MT,1330000,7,91195,Toyota,Diesel,Manual,First Owner,0,1,0
Volkswagen Polo 1.5 TDI Trendline,220000,13,63657,Volkswagen,Diesel,Manual,First Owner,0,1,0
Mahindra Verito Vibe 1.5 dCi D4,250000,11,60000,Mahindra,Diesel,Manual,First Owner,0,1,0
Toyota Innova 2.5 G (Diesel) 7 Seater,919999,8,75000,Toyota,Diesel,Manual,First Owner,0,1,0
Volkswagen Vento Magnific 1.6 Highline,380000,11,97248,Volkswagen,Petrol,Manual,First Owner,2,0,0
Maruti Swift VDI,450000,12,46000,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai Verna 1.6 VTVT AT S Option,770000,8,10000,Hyundai,Petrol,Automatic,First Owner,3,5,0
Maruti Swift Dzire LDI,550000,6,80000,Maruti,Diesel,Manual,First Owner,0,1,0
Tata New Safari DICOR 2.2 GX 4x2,320000,13,100000,Tata,Diesel,Manual,Second Owner,0,2,0
Maruti SX4 Vxi BSIV,400000,11,35000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Celerio VXI AT,450000,7,50000,Maruti,Petrol,Automatic,First Owner,3,5,0
Maruti SX4 ZDI,220000,13,90000,Maruti,Diesel,Manual,Third Owner,1,7,0
Mahindra XUV500 W8 2WD,400000,12,150000,Mahindra,Diesel,Manual,Second Owner,1,2,0
Hyundai Verna 1.6 SX VTVT (O),530000,11,89000,Hyundai,Petrol,Manual,Second Owner,2,3,0
Maruti Swift Dzire VDI,390000,10,60000,Maruti,Diesel,Manual,Second Owner,0,2,0
Fiat Grande Punto 1.3 Dynamic (Diesel),185000,12,100000,Fiat,Diesel,Manual,Second Owner,0,2,0
Maruti SX4 Vxi BSIV,300000,12,100000,Maruti,Petrol,Manual,Second Owner,1,3,0
Maruti Swift VDI BSIV,575000,10,90000,Maruti,Diesel,Manual,Second Owner,0,2,0
Maruti Wagon R Stingray VXI,300000,10,75000,Maruti,Petrol,Manual,First Owner,2,0,0
Toyota Etios Liva 1.4 VD,425000,7,36000,Toyota,Diesel,Manual,First Owner,0,1,0
Hyundai Xcent 1.2 Kappa SX,350000,8,12000,Hyundai,Petrol,Manual,First Owner,2,0,0
Honda Amaze VX O iDTEC,550000,7,12997,Honda,Diesel,Manual,First Owner,0,1,0
Maruti Ciaz 1.4 AT Zeta,500000,7,40000,Maruti,Petrol,Automatic,First Owner,3,5,0
Mahindra Scorpio S4 4WD,600000,9,60000,Mahindra,Diesel,Manual,First Owner,0,1,0
Mahindra Quanto C8,300000,11,25000,Mahindra,Diesel,Manual,Second Owner,0,2,0
Hyundai Verna CRDi 1.6 SX Option,1150000,6,26430,Hyundai,Diesel,Manual,First Owner,0,1,0
Maruti Swift 1.3 VXI ABS,475000,9,24600,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Wagon R LXI,260000,13,28481,Maruti,Petrol,Manual,First Owner,2,0,0
Ford Ecosport 1.0 Ecoboost Titanium Optional,350000,11,100000,Ford,Petrol,Manual,First Owner,2,0,0
Mahindra XUV500 W8 2WD,750000,11,41988,Mahindra,Diesel,Manual,First Owner,0,1,0
Maruti Wagon R LXI,180000,15,30375,Maruti,Petrol,Manual,First Owner,2,0,0
Renault KWID Climber 1.0 AMT BSIV,350000,7,7658,Renault,Petrol,Automatic,First Owner,3,5,0
Maruti Swift Dzire VDI,611000,7,34400,Maruti,Diesel,Manual,First Owner,0,1,0
Renault KWID RXL BSIV,325000,7,18500,Renault,Petrol,Manual,First Owner,2,0,0
Hyundai EON 1.0 Era Plus,225000,12,48000,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti Wagon R AMT VXI,300000,10,28942,Maruti,Petrol,Automatic,First Owner,3,5,0
Mahindra Bolero Power Plus SLX,400000,7,50000,Mahindra,Diesel,Manual,Second Owner,0,2,0
Mahindra XUV500 W8 2WD,711000,12,53600,Mahindra,Diesel,Manual,First Owner,0,1,0
Toyota Innova 2.5 G (Diesel) 8 Seater,851000,9,53652,Toyota,Diesel,Manual,First Owner,0,1,0
Maruti Ertiga VXI,500000,10,25000,Maruti,Petrol,Manual,First Owner,2,0,0
Toyota Innova 2.5 G4 Diesel 8-seater,250000,17,80000,Toyota,Diesel,Manual,Second Owner,1,2,0
Maruti Alto 800 VXI,150000,7,50000,Maruti,Petrol,Manual,First Owner,2,0,0
Mahindra Scorpio 1.99 S10,610000,8,15000,Mahindra,Diesel,Manual,Second Owner,0,2,0
Mahindra KUV 100 G80 K2,450000,6,5000,Mahindra,Petrol,Manual,First Owner,2,0,0
Hyundai i20 1.4 Asta Option,744000,7,106000,Hyundai,Diesel,Manual,First Owner,0,1,0
Chevrolet Spark 1.0,120000,16,100000,Chevrolet,Petrol,Manual,Third Owner,1,6,0
Renault KWID RXL,220000,8,60000,Renault,Petrol,Manual,Third Owner,1,6,0
Maruti Ertiga ZDI,480000,12,120000,Maruti,Diesel,Manual,Fourth & Above Owner,1,14,0
Maruti Celerio ZXI Optional AMT BSIV,370000,7,82000,Maruti,Petrol,Automatic,First Owner,3,-1,0
Fiat Palio D 1.9 EL PS,55000,21,35000,Fiat,Diesel,Manual,Second Owner,1,-1,0
Hyundai EON Magna Plus,125000,11,205000,Hyundai,Petrol,Manual,First Owner,1,-1,0
Hyundai Verna 1.6 CRDI,260000,13,125000,Hyundai,Diesel,Manual,Third Owner,1,7,0
Fiat Linea Classic 1.3 Multijet,350000,9,130000,Fiat,Diesel,Manual,First Owner,0,1,0
Maruti Alto 800 CNG LXI,170000,12,97000,Maruti,CNG,Manual,Second Owner,0,11,0
Hyundai Grand i10 Sportz,350000,9,90000,Hyundai,Petrol,Manual,Second Owner,2,3,0
Maruti Swift Dzire VXi,250000,15,60000,Maruti,Petrol,Manual,Third Owner,1,6,0
Tata Indigo CR4,170000,11,60000,Tata,Diesel,Manual,First Owner,0,1,0
Mahindra Scorpio S11 BSIV,1300000,6,35000,Mahindra,Diesel,Manual,First Owner,0,1,0
Hyundai Grand i10 1.2 Kappa Sportz BSIV,550000,5,25000,Hyundai,Petrol,Manual,First Owner,2,0,0
Honda Brio 1.2 S MT,400000,7,15000,Honda,Petrol,Manual,First Owner,2,0,0
Tata Nano Lx,120000,13,20000,Tata,Petrol,Manual,First Owner,2,0,0
Ford Figo Petrol Titanium,275000,14,70000,Ford,Petrol,Manual,First Owner,2,0,0
Tata Zest Revotron 1.2T XE,285000,8,90000,Tata,Petrol,Manual,First Owner,2,0,0
Hyundai Creta 1.4 CRDi Base,900000,8,80000,Hyundai,Diesel,Manual,First Owner,0,1,0
Mercedes-Benz M-Class ML 350 CDI,2500000,10,79500,Mercedes-Benz,Diesel,Automatic,Second Owner,3,-1,0
Hyundai Verna 1.6 SX CRDi (O),620000,11,70000,Hyundai,Diesel,Manual,Second Owner,0,2,0
Toyota Innova Crysta 2.4 GX MT 8S BSIV,1700000,6,5000,Toyota,Diesel,Manual,First Owner,0,1,0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,650000,6,15000,Ford,Petrol,Manual,First Owner,2,0,0
Maruti Ertiga VXI,500000,10,35000,Maruti,Petrol,Manual,First Owner,2,0,0
Tata New Safari DICOR 2.2 EX 4x4,250000,15,120000,Tata,Diesel,Manual,Second Owner,1,2,0
Mahindra Marazzo M4,950000,6,15000,Mahindra,Diesel,Manual,Second Owner,0,2,0
Toyota Etios Cross 1.2L G,320000,9,60000,Toyota,Petrol,Manual,First Owner,2,0,0
Renault Duster 110PS Diesel RxZ,450000,11,120000,Renault,Diesel,Manual,First Owner,0,1,0
Mahindra KUV 100 mFALCON D75 K8 AW,350000,8,90000,Mahindra,Diesel,Manual,First Owner,0,1,0
Maruti Swift Dzire VXI,400000,9,90000,Maruti,Petrol,Manual,First Owner,2,0,0
Hyundai i20 Asta 1.4 CRDi (Diesel),250000,15,72000,Hyundai,Diesel,Manual,Second Owner,1,2,0
Toyota Innova 2.0 GX 8 STR BSIV,550000,13,197000,Toyota,Petrol,Manual,Second Owner,1,-1,0
Maruti Zen LXI,85000,25,70000,Maruti,Petrol,Manual,Second Owner,1,3,0
Hyundai Santro LP zipPlus,52000,23,50000,Hyundai,Petrol,Manual,Third Owner,1,6,0
Tata Hexa XTA,1200000,7,50000,Tata,Diesel,Automatic,First Owner,3,10,0
Hyundai Verna 1.6 SX VTVT AT,450000,13,60000,Hyundai,Petrol,Automatic,Third Owner,3,-1,0
Maruti Swift Dzire VXI 1.2 BS IV,615000,6,40000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti SX4 ZDI Leather,400000,12,60000,Maruti,Diesel,Manual,Second Owner,0,2,0
Tata Nano LX,60000,11,40000,Tata,Petrol,Manual,First Owner,2,0,0
Maruti Ignis 1.2 Alpha BSIV,500000,7,9161,Maruti,Petrol,Manual,First Owner,2,0,0
Honda Mobilio V i VTEC,600000,9,45000,Honda,Petrol,Manual,First Owner,2,0,0
Hyundai Getz 1.3 GVS,110000,14,110000,Hyundai,Petrol,Manual,First Owner,2,0,0
Hyundai Santro Xing GL Plus,175000,11,80000,Hyundai,Petrol,Manual,First Owner,2,0,0
Ford Fiesta Titanium 1.5 TDCi,325000,13,100000,Ford,Diesel,Manual,Second Owner,0,2,0
Maruti Swift Dzire LDI,425000,7,90000,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai Accent GLE CNG,160000,15,70000,Hyundai,CNG,Manual,Third Owner,1,-1,0
Maruti Zen Estilo LXI BSIII,100000,17,80000,Maruti,Petrol,Manual,Third Owner,1,6,0
Maruti Swift Dzire LDI,390000,10,110000,Maruti,Diesel,Manual,Second Owner,0,2,0
Hyundai i20 1.2 Spotz,400000,7,50000,Hyundai,Petrol,Manual,First Owner,2,0,0
Tata Tigor 1.2 Revotron XM,509999,6,5000,Tata,Petrol,Manual,First Owner,2,0,0
Hyundai i10 Magna 1.1,150000,16,90000,Hyundai,Petrol,Manual,Third Owner,1,6,0
Hyundai Santro Xing GLS,110000,15,120000,Hyundai,Petrol,Manual,First Owner,1,0,0
Nissan Sunny Diesel XV,450000,11,80000,Nissan,Diesel,Manual,First Owner,0,1,0
Hyundai i20 1.2 Spotz,400000,7,38000,Hyundai,Petrol,Manual,Second Owner,2,3,0
Hyundai Santro Xing GLS,140000,15,120000,Hyundai,Petrol,Manual,First Owner,1,0,0
Tata Indigo CR4,130000,13,90000,Tata,Diesel,Manual,First Owner,0,1,0
Maruti Alto 800 LXI,160000,7,50000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Alto 800 LXI,150000,8,60000,Maruti,Petrol,Manual,First Owner,2,0,0
Mahindra XUV500 W8 2WD,500000,11,100000,Mahindra,Diesel,Manual,Second Owner,0,2,0
Tata Nano Std,40000,13,19000,Tata,Petrol,Manual,First Owner,2,0,0
Chevrolet Tavera LT L1 7 Seats BSIII,140000,18,200000,Chevrolet,Diesel,Manual,Third Owner,1,-1,1
Mahindra Verito 1.5 D2 BSIV,227000,9,70000,Mahindra,Diesel,Manual,Second Owner,0,2,0
Maruti Swift VDI,285000,13,50000,Maruti,Diesel,Manual,Second Owner,0,2,0
Maruti Alto LX,155000,12,19077,Maruti,Petrol,Manual,Second Owner,2,3,0
Hyundai EON D Lite,210000,8,30000,Hyundai,Petrol,Manual,First Owner,2,0,0
Maruti Alto LXi,140000,15,80000,Maruti,Petrol,Manual,Second Owner,1,3,0
Toyota Innova 2.5 GX (Diesel) 7 Seater,940000,9,128000,Toyota,Diesel,Manual,First Owner,0,1,0
Nissan Terrano XV Premium 110 PS,750000,11,80000,Nissan,Diesel,Manual,First Owner,0,1,0
Maruti Baleno Alpha 1.3,610000,8,100000,Maruti,Diesel,Manual,First Owner,0,1,0
Nissan Sunny XV D Premium Leather,450000,9,50000,Nissan,Diesel,Manual,First Owner,0,1,0
Toyota Etios Liva GD,409999,12,56000,Toyota,Diesel,Manual,First Owner,0,1,0
Hyundai EON 1.0 Era Plus,100000,6,21302,Hyundai,Petrol,Manual,First Owner,2,0,0
Renault KWID 1.0 RXT Optional,300000,6,10500,Renault,Petrol,Manual,First Owner,2,0,0
Mahindra Bolero 2011-2019 SLX,400000,11,107000,Mahindra,Diesel,Manual,First Owner,0,1,0
Hyundai i10 Sportz 1.2,210000,14,60000,Hyundai,Petrol,Manual,Second Owner,1,3,0
Hyundai Santro Xing XG eRLX Euro III,90000,18,120000,Hyundai,Petrol,Manual,Second Owner,1,3,1
Maruti Wagon R LXI BS IV,222000,14,70000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Alto 800 LXI,240000,9,50000,Maruti,Petrol,Manual,Second Owner,2,3,0
Toyota Etios Liva GD,450000,11,70000,Toyota,Diesel,Manual,Second Owner,0,2,0
Volkswagen Jetta 2.0L TDI Highline AT,735000,12,55300,Volkswagen,Diesel,Automatic,First Owner,3,-1,0
Tata Indica Vista Quadrajet 90 VX,285000,12,74300,Tata,Diesel,Manual,First Owner,0,1,0
Honda City VX MT,350000,14,48781,Honda,Petrol,Manual,First Owner,2,0,0
Volkswagen Jetta 1.9 Highline TDI,290000,14,87620,Volkswagen,Diesel,Automatic,First Owner,3,-1,0
Volkswagen Vento 1.5 TDI Highline Plus AT,890000,7,40219,Volkswagen,Diesel,Automatic,First Owner,3,10,0
Honda Jazz VX,385000,13,11473,Honda,Petrol,Manual,First Owner,2,0,0
Maruti Eeco 5 Seater AC BSIV,425000,7,8352,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Wagon R VXI AMT1.2BSIV,525000,7,9745,Maruti,Petrol,Automatic,First Owner,3,5,0
Hyundai Grand i10 Asta,550000,7,9748,Hyundai,Petrol,Manual,First Owner,2,0,0
Volkswagen Polo 1.0 MPI Trendline,271000,12,49000,Volkswagen,Petrol,Manual,First Owner,2,0,0
Hyundai Creta 1.6 CRDi SX Option,1490000,6,20694,Hyundai,Diesel,Manual,First Owner,0,1,0
Hyundai Grand i10 Asta Option,490000,9,31080,Hyundai,Petrol,Manual,First Owner,2,0,0
Hyundai EON Era Plus,260000,10,37605,Hyundai,Petrol,Manual,First Owner,2,0,0
Hyundai Xcent 1.1 CRDi SX Option,455000,10,55850,Hyundai,Diesel,Manual,First Owner,0,1,0
Tata Nano Lx BSIV,75000,14,58850,Tata,Petrol,Manual,First Owner,2,0,0
Toyota Etios Cross 1.2L G,421000,9,23839,Toyota,Petrol,Manual,First Owner,2,0,0
Maruti Swift DDiS LDI,550000,8,54000,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai i10 Sportz 1.2 AT,330000,11,38000,Hyundai,Petrol,Automatic,First Owner,3,5,0
Volkswagen Vento 1.5 TDI Comfortline,390000,12,45454,Volkswagen,Diesel,Manual,First Owner,0,1,0
Skoda Rapid 1.5 TDI AT Ambition,599000,9,46957,Skoda,Diesel,Automatic,First Owner,3,10,0
Hyundai Getz GLE,110000,17,60000,Hyundai,Petrol,Manual,Fourth & Above Owner,1,9,0
Renault KWID RXT Optional,250000,8,25000,Renault,Petrol,Manual,First Owner,2,0,0
Mahindra Scorpio M2DI,600000,12,110000,Mahindra,Diesel,Manual,Fourth & Above Owner,1,-1,0
Ford Endeavour XLT TDCi 4X2,280000,16,190000,Ford,Diesel,Manual,Second Owner,1,2,1
Audi Q3 35 TDI Quattro Technology,2700000,6,25000,Audi,Diesel,Automatic,First Owner,3,8,0
Mahindra Renault Logan 1.4 GLX Petrol,80000,16,90000,Mahindra,Petrol,Manual,First Owner,2,0,0
Maruti Alto K10 VXI,350000,5,5000,Maruti,Petrol,Manual,First Owner,2,0,0
Maruti Swift VDI BSIV,475000,9,60000,Maruti,Diesel,Manual,First Owner,0,1,0
Audi A5 Sportback,4700000,4,1500,Audi,Diesel,Automatic,First Owner,3,-1,0
Maruti Swift Dzire VDI,500000,6,50000,Maruti,Diesel,Manual,First Owner,0,1,0
Chevrolet Sail Hatchback 1.3 TCDi LT ABS,250000,10,120000,Chevrolet,Diesel,Manual,First Owner,0,1,0
Hyundai Accent CRDi,100000,19,120000,Hyundai,Diesel,Manual,Second Owner,1,2,1
Maruti Alto K10 VXI Airbag,350000,5,5000,Maruti,Petrol,Manual,First Owner,2,0,0
BMW 7 Series Signature 730Ld,4000000,10,47000,BMW,Diesel,Automatic,First Owner,3,-1,0
Toyota Camry 2.5 Hybrid,1900000,7,20000,Toyota,Petrol,Automatic,First Owner,3,-1,0
Hyundai Santro Xing XG,95000,19,120000,Hyundai,Petrol,Manual,Second Owner,1,3,1
Hyundai Grand i10 CRDi Sportz,409999,9,58000,Hyundai,Diesel,Manual,First Owner,0,1,0
Mahindra XUV500 W5 BSIV,1050000,6,35000,Mahindra,Diesel,Manual,First Owner,0,1,0
Maruti Alto K10 VXI,320000,7,30000,Maruti,Petrol,Manual,First Owner,2,0,0
Mahindra XUV300 W8 Option Diesel BSIV,1000000,5,10000,Mahindra,Diesel,Manual,First Owner,0,1,0
Toyota Innova Crysta 2.4 VX MT BSIV,1770000,7,25000,Toyota,Diesel,Manual,First Owner,0,1,0
Mahindra Thar CRDe,950000,6,20000,Mahindra,Diesel,Manual,First Owner,0,1,0
Maruti Swift Dzire ZDI,750000,6,50000,Maruti,Diesel,Manual,First Owner,0,1,0
Hyundai EON Magna Plus,220000,10,42000,Hyundai,Petrol,Manual,First Owner,2,0,0
Tata Hexa XM,1000000,7,50000,Tata,Diesel,Manual,First Owner,0,1,0
Honda Mobilio E i DTEC,660000,7,116000,Honda,Diesel,Manual,First Owner,0,1,0
Maruti Ertiga ZDI,716000,9,100000,Maruti,Diesel,Manual,First Owner,0,1,0
Maruti Ciaz ZXi Plus,675000,9,66000,Maruti,Petrol,Manual,First Owner,2,0,0
Mahindra Scorpio LX,385000,14,110000,Mahindra,Diesel,Manual,Third Owner,1,7,0
Fiat Grande Punto EVO 1.3 Dynamic,325000,10,70000,Fiat,Diesel,Manual,First Owner,0,1,0
Hyundai Creta 1.6 CRDi SX Option,950000,9,60000,Hyundai,Diesel,Manual,First Owner,0,1,0
Ford Endeavour Hurricane Limited Edition,400000,17,110000,Ford,Diesel,Automatic,Fourth & Above Owner,1,-1,1
Tata Indica Vista TDI LS,250000,10,25000,Tata,Diesel,Manual,First Owner,0,1,0
Land Rover Discovery S 2.0 SD4,4000000,6,68000,Land,Petrol,Automatic,First Owner,3,-1,0
Maruti Alto 800 LXI,210000,10,20000,Maruti,Petrol,Manual,First Owner,2,0,0
Hyundai i10 Era 1.1 iTech SE,147000,13,110000,Hyundai,Petrol,Manual,Second Owner,1,3,0
Maruti Vitara Brezza VDi Option,725000,6,26350,Maruti,Diesel,Manual,First Owner,0,1,0
Mahindra Scorpio SLE BSIV,550000,12,90000,Mahindra,Diesel,Manual,First Owner,0,1,0
Hyundai i20 Sportz Option 1.2,475000,8,25000,Hyundai,Petrol,Manual,First Owner,2,0,0
Hyundai Santro Xing GLS,250000,10,50000,Hyundai,Petrol,Manual,Second Owner,2,3,0
Tata Indica LSI,70000,18,60000,Tata,Petrol,Manual,Second Owner,1,3,0
Hyundai EON Era Plus,160000,12,70000,Hyundai,Petrol,Manual,Third Owner,1,6,0
Ford Endeavour 3.0L 4X4 AT,1000000,13,90000,Ford,Diesel,Automatic,Second Owner,3,-1,0
Hyundai Santro LE zipPlus,68000,23,70000,Hyundai,Petrol,Manual,First Owner,1,0,0
Hyundai Grand i10 1.2 Kappa Asta,500000,7,26500,Hyundai,Petrol,Manual,First Owner,2,0,0
Hyundai Creta 1.4 EX Diesel,1050000,4,10000,Hyundai,Diesel,Manual,First Owner,0,1,0
Hyundai Verna CRDi 1.6 SX,900000,7,50000,Hyundai,Diesel,Manual,First Owner,0,1,0
Maruti Alto LX,100000,17,52000,Maruti,Petrol,Manual,Second Owner,1,3,0
Hyundai i20 Asta 1.4 CRDi,300000,11,90000,Hyundai,Diesel,Manual,First Owner,0,1,0
Tata Indigo LX,140000,13,60000,Tata,Diesel,Manual,Second Owner,0,2,0
Ford Figo Aspire 1.2 Ti-VCT Trend,550000,6,35000,Ford,Petrol,Manual,First Owner,2,0,0
Mahindra XUV500 W8 4WD,650000,12,71042,Mahindra,Diesel,Manual,First Owner,0,1,0
Mitsubishi Pajero Sport 4X4,1025000,12,167870,Mitsubishi,Diesel,Manual,Second Owner,0,-1,0
Ford Fiesta 1.5 TDCi Titanium,195000,13,133564,Ford,Diesel,Manual,First Owner,0,1,0
BMW 3 Series 320d Sport,1490000,11,40000,BMW,Diesel,Automatic,First Owner,3,4,0
Honda City i-VTEC CVT ZX,1140000,6,23038,Honda,Petrol,Automatic,First Owner,3,5,0
Chevrolet Beat Diesel LS,95000,13,70000,Chevrolet,Diesel,Manual,First Owner,0,1,0
BMW 3 Series GT Luxury Line,3050000,7,30000,BMW,Diesel,Automatic,First Owner,3,8,0
Maruti Baleno Delta 1.2,585000,7,43608,Maruti,Petrol,Manual,First Owner,2,0,0
